data;tmin;tmax;tmed
25/11/2004;30.8;16.2;21.8
26/11/2004;29.7;16.6;21.2
27/11/2004;25.3;15.6;19.7
28/11/2004;25.3;15.8;19.5
29/11/2004;26;14;19.5
30/11/2004;26.4;15.6;19.8
01/12/2004;23.6;15;18.1
02/12/2004;23.5;15;17.9
03/12/2004;23.8;14.8;19.2
04/12/2004;30.2;17.6;22.4
05/12/2004;28.6;17.2;21.4
06/12/2004;26.2;18;21.4
07/12/2004;28.6;17.6;21.8
08/12/2004;26.8;17;21.5
09/12/2004;24.2;17.6;19.5
10/12/2004;19.3;13;15.5
11/12/2004;20.2;12;15.6
12/12/2004;24.3;10.2;16.7
13/12/2004;26.8;10.4;18.7
14/12/2004;28.5;13.2;21.1
15/12/2004;27.5;17.2;21.2
16/12/2004;30;16.4;21.4
17/12/2004;24.5;16.8;19.1
18/12/2004;26.3;16.6;20.6
19/12/2004;29.4;15.8;19.8
20/12/2004;25;12.2;19.4
21/12/2004;21.2;15;17.6
22/12/2004;17.2;13;14.4
23/12/2004;16.6;12.4;14.4
24/12/2004;24.5;13.6;18.3
25/12/2004;27.6;15.2;21.3
26/12/2004;27;14;20.4
27/12/2004;24.5;10;17.5
28/12/2004;27.3;10.8;19.7
29/12/2004;29.2;16.8;21.9
30/12/2004;26.7;16;21.7
31/12/2004;30.4;16.2;23.5
01/01/2005;28.5;18.8;22.8
02/01/2005;29;18.6;23.2
03/01/2005;22.7;19;20
04/01/2005;25.4;18;21
05/01/2005;29.6;17.6;22.6
06/01/2005;27.7;17.8;22.3
07/01/2005;27.2;18.6;23.3
08/01/2005;30.7;20.2;23.9
09/01/2005;29.8;20.3;23.7
10/01/2005;25.5;20.4;22.1
11/01/2005;24.5;18.8;21.3
12/01/2005;28.4;17.8;21.6
13/01/2005;29.4;14.8;21
14/01/2005;28;17.6;21.4
15/01/2005;30.2;15.6;21.6
16/01/2005;24.5;17.4;19.4
17/01/2005;23.8;14;18.9
18/01/2005;26;17.6;21.9
19/01/2005;26;19.2;21.9
20/01/2005;28;18.2;22.1
21/01/2005;29.7;13;22.3
22/01/2005;30.3;18.8;23.6
23/01/2005;31.5;19;23
24/01/2005;23.7;19.4;21.2
25/01/2005;25.7;18;20
26/01/2005;23.8;10.8;16.6
27/01/2005;19.6;11.8;15.8
28/01/2005;20.8;15.4;18.5
29/01/2005;23.7;18;20.4
30/01/2005;24.2;18.4;20.6
31/01/2005;28;17.8;22.2
01/02/2005;28.5;15.6;20.9
02/02/2005;27.8;14.6;20.4
03/02/2005;25.2;16.4;19.8
04/02/2005;26.2;16.2;20.2
05/02/2005;26.4;16.8;20.3
06/02/2005;27.6;14.8;19.6
07/02/2005;25.6;13;18.6
08/02/2005;24;12;17.7
09/02/2005;27;12.8;18.8
10/02/2005;26.4;13.4;19.6
29/10/2005;22.3;14.4;16.7
30/10/2005;23;9.4;14.8
31/10/2005;21.6;7.2;12.4
01/11/2005;22;6.2;14.7
02/11/2005;27.6;11.4;18
03/11/2005;26;12.8;18.8
04/11/2005;26.6;13;17.5
